"","Name","Votes","%vote","yearID","percent_vote","inducted"
"1","Carlos Beltrán",358,"84.2%",2026,84.2,"Y"
"2","Andruw Jones",333,"78.4%",2026,78.4,"Y"
"3","Chase Utley",251,"59.1%",2026,59.1,"N"
"4","Andy Pettitte",206,"48.5%",2026,48.5,"N"
"5","Félix Hernández",196,"46.1%",2026,46.1,"N"
"6","Alex Rodriguez",170,"40.0%",2026,40,"N"
"7","X-Manny Ramirez",165,"38.8%",2026,38.8,"N"
"8","Bobby Abreu",131,"30.8%",2026,30.8,"N"
"9","Jimmy Rollins",108,"25.4%",2026,25.4,"N"
"10","Cole Hamels",101,"23.8%",2026,23.8,"N"
"11","Dustin Pedroia",88,"20.7%",2026,20.7,"N"
"12","Mark Buehrle",85,"20.0%",2026,20,"N"
"13","Omar Vizquel",78,"18.4%",2026,18.4,"N"
"14","David Wright",63,"14.8%",2026,14.8,"N"
"15","Francisco Rodríguez",50,"11.8%",2026,11.8,"N"
"16","Torii Hunter",37,"8.7%",2026,8.7,"N"
"17","X-Ryan Braun",15,"3.5%",2026,3.5,"N"
"18","X-Edwin Encarnación",6,"1.4%",2026,1.4,"N"
"19","X-Shin-Soo Choo",3,"0.7%",2026,0.7,"N"
"20","X-Hunter Pence",2,"0.5%",2026,0.5,"N"
"21","X-Matt Kemp",2,"0.5%",2026,0.5,"N"
"22","X-Rick Porcello",2,"0.5%",2026,0.5,"N"
"23","X-Nick Markakis",1,"0.2%",2026,0.2,"N"
"24","X-Alex Gordon",1,"0.2%",2026,0.2,"N"
"25","X-Daniel Murphy",0,"0.0%",2026,0,"N"
"26","X-Howie Kendrick",0,"0.0%",2026,0,"N"
"27","X-Gio Gonzalez",0,"0.0%",2026,0,"N"
